datetime,symbol,open,high,low,close,volumefrom,volumeto
2024-03-12 12:00:00+00:00,ETH,4022.25,4030.27,3978.89,4022.36,18614.09,74623248.55
2024-03-12 13:00:00+00:00,ETH,4022.36,4036.99,3999.64,4024.34,13895.24,55859659.08
2024-03-12 14:00:00+00:00,ETH,4024.34,4052.44,3979.34,3980.09,21855.49,87633803.3
2024-03-12 15:00:00+00:00,ETH,3980.09,4004.74,3951.42,3987.41,20250.86,80628361.99
2024-03-12 16:00:00+00:00,ETH,3987.41,3990.95,3899.7,3921.9,32832.4,129151925.38
2024-03-12 17:00:00+00:00,ETH,3921.9,3950.02,3832.09,3949.72,49255.01,191698982.25
2024-03-12 18:00:00+00:00,ETH,3949.72,3970.58,3931.38,3968.16,25819.46,101948015.98
2024-03-12 19:00:00+00:00,ETH,3968.16,3990.63,3955.89,3980.8,21995.03,87379791.13
2024-03-12 20:00:00+00:00,ETH,3980.8,3981.66,3929.12,3949.65,16111.36,63720528.24
2024-03-12 21:00:00+00:00,ETH,3949.65,3951.67,3930.24,3939.53,11708.18,46124044.69
2024-03-12 22:00:00+00:00,ETH,3939.53,3956.46,3933.92,3948.54,12736.64,50227054.38
2024-03-12 23:00:00+00:00,ETH,3948.54,3980.0,3939.14,3979.43,13998.38,55421773.21
2024-03-13 00:00:00+00:00,ETH,3979.43,3998.01,3973.43,3977.68,9024.83,35949560.31
2024-03-13 01:00:00+00:00,ETH,3977.68,4029.29,3975.76,4022.19,12667.05,50790352.46
2024-03-13 02:00:00+00:00,ETH,4022.19,4037.17,4013.19,4033.2,8185.78,32939975.76
2024-03-13 03:00:00+00:00,ETH,4033.2,4046.6,4026.03,4044.89,7885.08,31851448.09
2024-03-13 04:00:00+00:00,ETH,4044.89,4046.17,4031.35,4044.04,7407.73,29925349.8
2024-03-13 05:00:00+00:00,ETH,4044.04,4044.06,4031.34,4038.17,4386.93,17717176.84
2024-03-13 06:00:00+00:00,ETH,4038.17,4055.12,4034.81,4049.53,9510.53,38479986.29
2024-03-13 07:00:00+00:00,ETH,4049.53,4079.02,4035.8,4040.68,12366.23,50173198.55
2024-03-13 08:00:00+00:00,ETH,4040.68,4083.88,4039.98,4065.35,15750.94,64038358.97
2024-03-13 09:00:00+00:00,ETH,4065.35,4068.18,4046.42,4051.17,9911.34,40229373.1
2024-03-13 10:00:00+00:00,ETH,4051.17,4058.13,4044.78,4056.88,8636.53,34986780.29
2024-03-13 11:00:00+00:00,ETH,4056.88,4061.22,4047.33,4050.84,7430.89,30130050.52
2024-03-13 12:00:00+00:00,ETH,4050.84,4054.59,4005.05,4008.73,16606.59,66926096.61
2024-03-13 13:00:00+00:00,ETH,4008.73,4024.57,3934.38,3976.18,23971.34,95492824.18
2024-03-13 14:00:00+00:00,ETH,3976.18,4000.7,3955.45,3967.65,19181.92,76326594.33
2024-03-13 15:00:00+00:00,ETH,3967.65,4001.69,3951.57,3966.55,19035.08,75664224.79
2024-03-13 16:00:00+00:00,ETH,3966.55,3991.67,3955.94,3986.56,14856.57,59072067.29
2024-03-13 17:00:00+00:00,ETH,3986.56,3998.6,3963.47,3984.55,16744.55,66637343.62
2024-03-13 18:00:00+00:00,ETH,3984.55,4014.45,3977.34,4007.45,12634.04,50518732.75
2024-03-13 19:00:00+00:00,ETH,4007.45,4013.86,3983.83,4006.24,11245.35,44973519.56
2024-03-13 20:00:00+00:00,ETH,4006.24,4024.36,3978.31,3992.16,13968.46,55868612.43
2024-03-13 21:00:00+00:00,ETH,3992.16,4007.08,3977.86,4006.64,9244.29,36890031.75
2024-03-13 22:00:00+00:00,ETH,4006.64,4008.04,3983.63,3985.88,8399.83,33530708.6
2024-03-13 23:00:00+00:00,ETH,3985.88,4014.03,3985.77,4007.46,7911.0,31672023.0
2024-03-14 00:00:00+00:00,ETH,4007.46,4012.91,3977.56,3977.73,10029.57,40090684.87
2024-03-14 01:00:00+00:00,ETH,3977.73,3989.39,3958.33,3985.85,12777.06,50731056.5
2024-03-14 02:00:00+00:00,ETH,3985.85,4002.99,3983.1,3986.75,6214.99,24812765.21
2024-03-14 03:00:00+00:00,ETH,3986.75,4002.74,3986.75,3995.01,7980.75,31887143.27
2024-03-14 04:00:00+00:00,ETH,3995.01,4006.93,3944.01,3958.26,15183.15,60342655.68
2024-03-14 05:00:00+00:00,ETH,3958.26,3974.56,3943.87,3971.26,10047.47,39772231.52
2024-03-14 06:00:00+00:00,ETH,3971.26,3994.18,3969.46,3982.35,9686.72,38572248.14
2024-03-14 07:00:00+00:00,ETH,3982.35,3991.27,3960.33,3965.13,10502.21,41747871.7
2024-03-14 08:00:00+00:00,ETH,3965.13,3984.98,3964.28,3980.66,6790.69,27011142.29
2024-03-14 09:00:00+00:00,ETH,3980.66,3999.22,3974.37,3989.23,8957.64,35711456.32
2024-03-14 10:00:00+00:00,ETH,3989.23,3991.46,3964.18,3969.8,9362.58,37251774.08
2024-03-14 11:00:00+00:00,ETH,3969.8,3971.54,3945.79,3956.7,12799.85,50631108.51
2024-03-14 12:00:00+00:00,ETH,3956.7,3969.47,3919.35,3945.78,17594.25,69344806.71
2024-03-14 13:00:00+00:00,ETH,3945.78,3954.12,3850.24,3879.31,26322.66,102643565.34
2024-03-14 14:00:00+00:00,ETH,3879.31,3929.89,3865.21,3885.4,23180.77,90218888.57
2024-03-14 15:00:00+00:00,ETH,3885.4,3902.81,3819.35,3845.02,26229.26,101138986.57
2024-03-14 16:00:00+00:00,ETH,3845.02,3893.06,3824.15,3889.45,22672.88,87447894.35
2024-03-14 17:00:00+00:00,ETH,3889.45,3892.97,3852.77,3874.1,12355.01,47815392.49
2024-03-14 18:00:00+00:00,ETH,3874.1,3874.1,3760.45,3811.36,25375.55,96702077.73
2024-03-14 19:00:00+00:00,ETH,3811.36,3826.23,3719.25,3781.22,44719.88,168634337.76
2024-03-14 20:00:00+00:00,ETH,3781.22,3861.7,3777.44,3840.59,24308.35,93111635.2
2024-03-14 21:00:00+00:00,ETH,3840.59,3866.79,3819.48,3863.54,11487.9,44184322.96
2024-03-14 22:00:00+00:00,ETH,3863.54,3888.87,3862.68,3877.06,12829.16,49751214.08
2024-03-14 23:00:00+00:00,ETH,3877.06,3890.61,3872.53,3880.8,9483.5,36816461.68
2024-03-15 00:00:00+00:00,ETH,3880.8,3931.65,3870.13,3901.87,11295.16,44094352.14
2024-03-15 01:00:00+00:00,ETH,3901.87,3907.19,3873.9,3875.96,11321.35,44074580.44
2024-03-15 02:00:00+00:00,ETH,3875.96,3881.3,3700.26,3745.73,31964.68,120685067.62
2024-03-15 03:00:00+00:00,ETH,3745.73,3768.61,3621.14,3720.19,54042.52,200193500.09
2024-03-15 04:00:00+00:00,ETH,3720.19,3731.91,3655.31,3671.8,26589.47,98222008.85
2024-03-15 05:00:00+00:00,ETH,3671.8,3721.49,3659.35,3671.79,15721.76,58023338.05
2024-03-15 06:00:00+00:00,ETH,3671.79,3749.26,3671.38,3747.3,12926.74,48075196.98
2024-03-15 07:00:00+00:00,ETH,3747.3,3777.61,3729.56,3751.27,11614.81,43568622.85
2024-03-15 08:00:00+00:00,ETH,3751.27,3758.4,3655.2,3658.36,21548.43,79873547.53
2024-03-15 09:00:00+00:00,ETH,3658.36,3692.93,3567.56,3679.34,44390.69,161441761.19
2024-03-15 10:00:00+00:00,ETH,3679.34,3693.07,3647.08,3657.41,16513.71,60661160.21
2024-03-15 11:00:00+00:00,ETH,3657.41,3692.98,3619.67,3684.56,19882.16,72648459.11
2024-03-15 12:00:00+00:00,ETH,3684.56,3703.03,3666.97,3694.56,17240.73,63542282.58
2024-03-15 13:00:00+00:00,ETH,3694.56,3737.71,3669.99,3721.35,19869.98,73658389.96
2024-03-15 14:00:00+00:00,ETH,3721.35,3728.71,3687.18,3720.11,15927.25,58986493.01
2024-03-15 15:00:00+00:00,ETH,3720.11,3724.1,3684.55,3688.24,12144.71,44948408.8
2024-03-15 16:00:00+00:00,ETH,3688.24,3714.63,3660.38,3683.34,18391.5,67815169.74
2024-03-15 17:00:00+00:00,ETH,3683.34,3697.28,3662.96,3692.89,14588.36,53710371.52
2024-03-15 18:00:00+00:00,ETH,3692.89,3786.42,3692.21,3785.89,18349.79,68485797.7
2024-03-15 19:00:00+00:00,ETH,3785.89,3804.61,3676.74,3690.39,29011.01,108652905.88
2024-03-15 20:00:00+00:00,ETH,3690.39,3690.96,3608.59,3628.35,27047.55,98652567.22
2024-03-15 21:00:00+00:00,ETH,3628.35,3670.15,3626.3,3668.89,9312.04,33977405.48
2024-03-15 22:00:00+00:00,ETH,3668.89,3734.61,3665.79,3730.12,14267.41,52705520.73
2024-03-15 23:00:00+00:00,ETH,3730.12,3748.45,3713.13,3742.44,13243.71,49427187.5
2024-03-16 00:00:00+00:00,ETH,3742.44,3774.25,3737.26,3759.48,14119.08,53072433.76
2024-03-16 01:00:00+00:00,ETH,3759.48,3780.95,3737.25,3743.38,13451.57,50556582.54
2024-03-16 02:00:00+00:00,ETH,3743.38,3744.91,3725.11,3731.15,9283.77,34681636.54
2024-03-16 03:00:00+00:00,ETH,3731.15,3748.23,3722.05,3734.98,5982.36,22341143.41
2024-03-16 04:00:00+00:00,ETH,3734.98,3742.77,3713.72,3724.77,7933.51,29574415.55
2024-03-16 05:00:00+00:00,ETH,3724.77,3727.05,3690.15,3713.46,8561.34,31737042.97
2024-03-16 06:00:00+00:00,ETH,3713.46,3728.52,3706.14,3724.93,5079.44,18890673.85
2024-03-16 07:00:00+00:00,ETH,3724.93,3739.89,3718.07,3738.87,8546.42,31871518.6
2024-03-16 08:00:00+00:00,ETH,3738.87,3739.98,3712.56,3717.74,7340.88,27370667.56
2024-03-16 09:00:00+00:00,ETH,3717.74,3731.11,3712.11,3718.92,5413.5,20146096.61
2024-03-16 10:00:00+00:00,ETH,3718.92,3722.03,3698.34,3701.0,9215.74,34176098.65
2024-03-16 11:00:00+00:00,ETH,3701.0,3706.7,3663.83,3691.99,14032.75,51781870.89
2024-03-16 12:00:00+00:00,ETH,3691.99,3710.82,3664.79,3665.28,10331.57,38103487.06
2024-03-16 13:00:00+00:00,ETH,3665.28,3683.36,3645.87,3646.34,12024.61,44098869.13
2024-03-16 14:00:00+00:00,ETH,3646.34,3665.14,3637.6,3663.65,12102.97,44202891.99
2024-03-16 15:00:00+00:00,ETH,3663.65,3681.59,3646.38,3677.85,9454.07,34626463.26
2024-03-16 16:00:00+00:00,ETH,3677.85,3678.22,3656.21,3663.36,9805.17,35963909.14
2024-03-16 17:00:00+00:00,ETH,3663.36,3670.7,3626.14,3630.63,12986.59,47415227.44
2024-03-16 18:00:00+00:00,ETH,3630.63,3636.48,3567.82,3592.47,23169.18,83391533.6
2024-03-16 19:00:00+00:00,ETH,3592.47,3635.44,3590.42,3598.39,14583.22,52717660.54
2024-03-16 20:00:00+00:00,ETH,3598.39,3631.23,3577.3,3617.31,13998.97,50501779.84
2024-03-16 21:00:00+00:00,ETH,3617.31,3625.85,3539.16,3553.66,15346.25,54713652.63
2024-03-16 22:00:00+00:00,ETH,3553.66,3577.79,3522.03,3556.24,15884.7,56394590.17
2024-03-16 23:00:00+00:00,ETH,3556.24,3556.24,3467.22,3520.08,28452.72,99877418.32
2024-03-17 00:00:00+00:00,ETH,3520.08,3564.78,3502.19,3505.16,13893.4,49194160.95
2024-03-17 01:00:00+00:00,ETH,3505.16,3556.33,3505.07,3555.59,12786.93,45249668.49
2024-03-17 02:00:00+00:00,ETH,3555.59,3579.21,3550.19,3568.79,9507.32,33880478.62
2024-03-17 03:00:00+00:00,ETH,3568.79,3572.26,3552.9,3569.35,7469.31,26608807.11
2024-03-17 04:00:00+00:00,ETH,3569.35,3570.43,3549.36,3556.96,5431.52,19345450.45
2024-03-17 05:00:00+00:00,ETH,3556.96,3567.14,3534.62,3543.96,5805.12,20619157.42
2024-03-17 06:00:00+00:00,ETH,3543.96,3548.39,3442.59,3445.64,16432.91,57428664.61
2024-03-17 07:00:00+00:00,ETH,3445.64,3478.36,3411.95,3469.64,25012.14,86221162.97
2024-03-17 08:00:00+00:00,ETH,3469.64,3568.59,3458.54,3552.39,17574.96,61768379.81
