datetime,symbol,open,high,low,close,volumefrom,volumeto
2024-03-12 12:00:00+00:00,BNB,530.44,531.62,527.0,528.15,3922.55,2071708.04
2024-03-12 13:00:00+00:00,BNB,528.15,531.46,526.54,527.63,2970.42,1567277.97
2024-03-12 14:00:00+00:00,BNB,527.63,547.77,519.75,543.54,19474.29,10585104.54
2024-03-12 15:00:00+00:00,BNB,543.54,548.01,537.55,541.63,7518.55,4072305.11
2024-03-12 16:00:00+00:00,BNB,541.63,539.96,530.72,536.5,10157.54,5449561.98
2024-03-12 17:00:00+00:00,BNB,536.5,542.25,532.94,536.78,10326.09,5542844.36
2024-03-12 18:00:00+00:00,BNB,536.78,544.59,538.6,542.67,5692.42,3089083.03
2024-03-12 19:00:00+00:00,BNB,542.67,544.56,539.92,541.7,2354.8,1275599.66
2024-03-12 20:00:00+00:00,BNB,541.7,542.21,535.89,536.46,2558.12,1372331.18
2024-03-12 21:00:00+00:00,BNB,536.46,538.1,532.08,537.18,2304.2,1237771.97
2024-03-12 22:00:00+00:00,BNB,537.18,540.67,536.26,536.47,1861.6,998690.69
2024-03-12 23:00:00+00:00,BNB,536.47,539.87,536.87,537.37,1462.27,785782.5
2024-03-13 00:00:00+00:00,BNB,537.37,538.11,531.82,532.75,5973.94,3182626.38
2024-03-13 01:00:00+00:00,BNB,532.75,537.64,534.61,534.76,2851.29,1524746.31
2024-03-13 02:00:00+00:00,BNB,534.76,536.41,533.46,535.98,2473.14,1325543.25
2024-03-13 03:00:00+00:00,BNB,535.98,538.66,536.57,538.3,2069.25,1113876.38
2024-03-13 04:00:00+00:00,BNB,538.3,541.98,538.15,539.16,2048.59,1104520.23
2024-03-13 05:00:00+00:00,BNB,539.16,541.26,537.86,539.38,2026.07,1092820.41
2024-03-13 06:00:00+00:00,BNB,539.1,558.03,540.61,551.95,21246.41,11726975.95
2024-03-13 07:00:00+00:00,BNB,552.01,563.75,553.18,560.98,12069.04,6770478.76
2024-03-13 08:00:00+00:00,BNB,560.98,577.52,564.44,574.72,13982.21,8035922.18
2024-03-13 09:00:00+00:00,BNB,574.72,576.39,570.67,575.95,5443.63,3135269.63
2024-03-13 10:00:00+00:00,BNB,575.95,587.72,575.05,586.33,14633.65,8580160.17
2024-03-13 11:00:00+00:00,BNB,586.33,598.48,583.64,592.49,13440.91,7963544.76
2024-03-13 12:00:00+00:00,BNB,592.49,595.93,589.38,595.42,10317.76,6143418.27
2024-03-13 13:00:00+00:00,BNB,595.42,591.48,580.94,582.89,9916.6,5780307.75
2024-03-13 14:00:00+00:00,BNB,582.89,587.7,583.35,583.57,7258.31,4235721.68
2024-03-13 15:00:00+00:00,BNB,583.57,588.96,582.56,583.07,6819.94,3976482.66
2024-03-13 16:00:00+00:00,BNB,583.07,590.7,585.29,587.7,3602.13,2116981.65
